stadium_id,stadium_name,country_code,town,opening_year,capacity
a3094,Panagiotis Netsikas Mygdonias,GR,Drymos Thessalonikis,,400.0
a3095,Gates Sports Center,,Purdue,,2300.0
a3096,Pepsi Arena,,Quincy,,20000.0
a3097,Robert F. Hyland Arena,,St. Charles,,3270.0
a310,Łuczniczka,PL,Bydgoszcz,2002.0,8764.0
a3100,Sportna Hala Boris Gyuderov,BG,Pernik,,
a3101,Dong'an Sports Center,CN,Chengdu,2021.0,15000.0
a3105,Stars Volleyball Ground,SA,Riyadh,2016.0,20000.0
a3106,Ginásio Sebastião Flor,BR,Foz do Iguaçu,2006.0,
a3107,Centro Esportivo Ciro Nardi,BR,Cascavel,1979.0,3500.0
a3108,Ginásio De Esportes Hugo Zeni,BR,Toledo,1979.0,
a3109,Wisconsin Field House,,Madison,1930.0,7540.0
a311,Częstochowa Hall,PL,Częstochowa,2012.0,7100.0
a3111,Al-Salamiyah sport hall,SY,Al-Salamiyah city,2006.0,10000.0
a3112,D.J. Sokol Arena,,Omaha,2009.0,2950.0
a3113,Sanford Coyote Sports Center,,Vermillion,2016.0,6000.0
a3114,Cintas Center,,Cincinnati,2000.0,
a3115,Sportovní gymnázium Ludvíka Daňka,,Brno,,
a3116,ZŠ Oskara Nedbala,,České Budějovice,,
a3117,Ginásio Sesi Clube Natal,BR,Natal,,
a3118,E. Plaza Ishikawa,JP,Kahoku City Ishikawa,,
a3119,Wilkinson Hall,,Bloomington,,3000.0
a312,Polonia Hall,PL,Częstochowa,1986.0,4000.0
a3120,NMS Friesach,AT,Friesach,,
a3122,GOR Gelanggang Remaja Pekan Baru,ID,Pekan Baru,,
a3123,GOR Satria Purwokerto,ID,Purwokerto,,
a3124,Gedung PSCC Palembang,ID,Palembang,,
a3126,GOR C-tra Arena Bandung,ID,Bandung,,5000.0
a3127,GOR UNY Yogyakarta,ID,Yogyakarta,2008.0,5000.0
a313,Centrum,PL,Dąbrowa Górnicza,2004.0,2944.0
a3139,Sport Hall Belogradchik,BG,Belogradchik,,
a314,Ergo Arena,PL,Gdańsk,2010.0,15000.0
a3140,Fair Park Coliseum,,Dallas,1955.0,8513.0
